Year,Quarter,Registered_Users,App_Opens
2018,1,46877867,0
2018,2,63648311,0
2018,3,80010952,0
2018,4,102262055,0
2019,1,123432699,0
2019,2,141808226,920413791
2019,3,159293934,3448366103
2019,4,178279085,4301071954
2020,1,197575164,4768944662
2020,2,218996326,4357634272
2020,3,241169683,5739326491
2020,4,264271293,7461623162
2021,1,284985430,8635508502
2021,2,305258086,9630620549
2021,3,328354923,12256377890
2021,4,351161395,15172529039
2022,1,372951831,15724195113
2022,2,393424643,17786667567
2022,3,414324881,19223454074
2022,4,433947940,21262699669
2023,1,453886185,22927510601
2023,2,472369901,24931188217
2023,3,491434385,27225177134
2023,4,509358280,29936587770
2024,1,530084540,32626239822
2024,2,550287982,35407900260
2024,3,568010051,38129751823
2024,4,586756452,40416377679
